"name","est","target"
"AC005829.1",8.331725,NA
"AC005829.2",0,NA
"AC005832.2",0,NA
"AC005832.3",0,NA
"AC005832.4",60.4232,NA
"AC005833.1",203.98498,NA
"AC005837.2",1.07278,NA
"AC005838.1",0,NA
"AC005840.1",0,NA
"AC005840.3",1.02179,NA
"AC005865.1",44.2484,NA
"AC005868.1",0,NA
"AC005899.2",2,NA
"AC005906.1",0,NA
"AC005908.1",0,NA
"AC005912.1",6.98859,NA
"AC005921.1",0,NA
"AC005943.1",129.71,NA
"AC005951.1",0,NA
"AC005972.1",0,NA
"AC005972.2",0,NA
"AC006001.1",3,NA
"AC006001.3",1150.7256,NA
"AC006001.4",98.8662,NA
"AC006006.1",0,NA
"AC006011.1",255.911,NA
"AC006011.2",0,NA
"AC006015.1",0,NA
"AC006020.1",0,NA
"AC006022.1",0,NA
"AC006023.1",0,NA
"AC006023.2",0,NA
"AC006026.1",0,NA
"AC006026.2",0,NA
"AC006028.1",0,NA
"AC006030.1",21.7406,NA
"AC006033.1",2.02823,NA
"AC006042.3",4,NA
"AC006059.2",0,NA
"AC006064.6",540.8304,NA
"AC006065.1",0,NA
"AC006065.2",0,NA
"AC006077.1",0,NA
"AC006115.1",0,NA
"AC006116.1",0,NA
"AC006116.2",0,NA
"AC006116.3",0,NA
"AC006116.7",26.3227,NA
"AC006122.1",1.01445,NA
"AC006130.2",0,NA
"AC006133.1",0,NA
"AC006144.1",5.36592,NA
"AC006144.4",5.36592,NA
"AC006158.1",0,NA
"AC006158.2",0,NA
"AC006158.3",0,NA
"AC006160.2",0,NA
"AC006195.1",0,NA
"AC006197.1",0,NA
"AC006199.1",0,NA
"AC006210.1",0,NA
"AC006210.2",0,NA
"AC006236.1",0,NA
"AC006254.1",98.25914,NA
"AC006254.2",1,NA
"AC006254.3",0,NA
"AC006262.4",0,NA
"AC006270.2",9,NA
"AC006270.3",0,NA
"AC006272.2",0.57262,NA
"AC006326.1",0,NA
"AC006328.1",0,NA
"AC006328.2",0,NA
"AC006329.2",5,NA
"AC006335.1",0,NA
"AC006335.2",0,NA
"AC006338.1",0,NA
"AC006338.2",0,NA
"AC006349.1",2,NA
"AC006355.1",0,NA
"AC006362.1",0,NA
"AC006363.1",0,NA
"AC006366.1",0,NA
"AC006380.1",0,NA
"AC006386.1",0,NA
"AC006386.2",0,NA
"AC006390.1",0,NA
"AC006427.1",0,NA
"AC006441.2",0,NA
"AC006441.5",0,NA
"AC006445.1",0,NA
"AC006445.2",0,NA
"AC006449.4",1.03174,NA
"AC006453.1",0,NA
"AC006453.2",401.76816,NA
"AC006453.3",0,NA
"AC006453.4",2,NA
"AC006453.5",0,NA
"AC006455.2",0,NA
"AC006455.3",1,NA
"AC006455.6",0,NA
"AC006455.7",0,NA
"AC006457.1",0,NA
"AC006461.1",0,NA
"AC006463.1",0,NA
"AC006466.1",0,NA
"AC006480.1",1,NA
"AC006483.1",1.01881,NA
"AC006484.1",0,NA
"AC006486.1",0,NA
"AC006499.1",0,NA
"AC006499.2",0,NA
"AC006499.3",0,NA
"AC006499.4",0,NA
"AC006499.5",0,NA
"AC006499.6",0,NA
"AC006499.7",0,NA
"AC006499.8",0,NA
"AC006504.3",3,NA
"AC006504.4",0,NA
"AC006504.6",0,NA
"AC006509.1",20.2222,NA
"AC006509.2",1,NA
"AC006511.1",0,NA
"AC006511.2",0,NA
"AC006512.1",1,NA
"AC006512.2",0,NA
"AC006517.1",0,NA
"AC006518.1",0,NA
"AC006518.2",0,NA
"AC006518.3",0,NA
"AC006518.4",0,NA
"AC006518.5",0,NA
"AC006518.6",0,NA
"AC006518.7",3.53626e-06,NA
"AC006529.1",0,NA
"AC006530.1",0,NA
"AC006538.2",13.261,NA
"AC006539.1",2.00037,NA
"AC006539.2",3,NA
"AC006539.3",0,NA
"AC006548.1",0.387606,NA
"AC006548.2",0,NA
"AC006548.3",0,NA
"AC006557.2",0,NA
"AC006557.4",0,NA
"AC006557.5",0,NA
"AC006600.1",0,NA
"AC006924.1",0,NA
"AC006927.1",1.00098,NA
"AC006927.2",0,NA
"AC006927.3",2,NA
"AC006927.4",0,NA
"AC006927.5",0,NA
"AC006946.1",0,NA
"AC006960.1",0,NA
"AC006965.1",0,NA
"AC006967.1",5,NA
"AC006970.1",2.12732,NA
"AC006970.2",8,NA
"AC006971.1",0,NA
"AC006978.1",449,NA
"AC006978.2",11.0201,NA
"AC006986.1",0,NA
"AC006987.1",0,NA
"AC006989.1",0,NA
"AC006994.1",0,NA
"AC007000.1",12.0256,NA
"AC007000.2",5,NA
"AC007012.1",0,NA
"AC007016.1",0,NA
"AC007040.2",22.6762,NA
"AC007041.1",3.07587,NA
"AC007064.1",0,NA
"AC007064.3",0,NA
"AC007064.4",0,NA
"AC007066.1",0,NA
"AC007068.1",289.962,NA
"AC007068.2",0,NA
"AC007098.2",0,NA
"AC007115.1",0,NA
"AC007136.1",0,NA
"AC007151.1",0,NA
"AC007160.1",1.00019,NA
"AC007161.1",3,NA
"AC007161.2",1,NA
"AC007179.3",0,NA
"AC007182.2",3.02386,NA
"AC007192.1",186.668,NA
"AC007204.1",1,NA
"AC007204.2",0,NA
"AC007207.1",0,NA
"AC007215.1",0,NA
"AC007216.5",0,NA
"AC007224.1",0,NA
"AC007225.1",0,NA
"AC007225.2",0,NA
"AC007229.1",1.14995,NA
"AC007237.1",0,NA
"AC007238.1",7.79175,NA
"AC007241.2",0,NA
"AC007244.1",0,NA
"AC007253.1",0,NA
"AC007255.2",2,NA
"AC007256.1",9.11513,NA
"AC007262.1",0,NA
"AC007274.1",0,NA
"AC007274.2",0,NA
"AC007274.3",0,NA
"AC007275.1",0,NA
"AC007279.1",0,NA
"AC007283.2",0,NA
"AC007312.1",0,NA
"AC007318.1",58.2789,NA
"AC007318.2",115.75,NA
"AC007322.1",0,NA
"AC007322.2",0,NA
"AC007322.3",0,NA
"AC007322.4",0,NA
"AC007325.1",2.32708,NA
"AC007325.2",1021.6805,NA
"AC007325.3",0,NA
"AC007325.4",92.5586,NA
"AC007326.1",0,NA
"AC007326.3",0,NA
"AC007326.4",1422.9,NA
"AC007327.1",0,NA
"AC007342.2",0,NA
"AC007342.3",30.15214,NA
"AC007346.1",0,NA
"AC007346.2",0,NA
"AC007347.2",12.606,NA
"AC007363.1",0,NA
"AC007365.2",20.1004,NA
"AC007375.2",0,NA
"AC007376.1",0,NA
"AC007383.1",0,NA
"AC007386.1",1,NA
"AC007387.1",2.11863,NA
"AC007389.2",0,NA
"AC007389.4",0,NA
"AC007390.1",2,NA
"AC007394.1",0,NA
"AC007395.1",0,NA
"AC007424.1",14.2876,NA
"AC007435.1",0,NA
"AC007448.2",0,NA
"AC007450.2",0,NA
"AC007450.3",0,NA
"AC007450.4",0,NA
"AC007458.1",0,NA
"AC007494.1",1,NA
"AC007536.1",0,NA
"AC007537.1",0,NA
"AC007537.2",0,NA
"AC007546.3",165.387,NA
"AC007547.1",0,NA
"AC007547.2",1,NA
"AC007547.3",0,NA
"AC007551.1",0,NA
"AC007551.2",0,NA
