"Gene.name","SUM(est_counts)"
"AC006272.2",0.57262
"AC006326.1",0
"AC006328.1",0
"AC006328.2",0
"AC006329.2",5
"AC006335.1",0
"AC006335.2",0
"AC006338.1",0
"AC006338.2",0
"AC006349.1",2
"AC006355.1",0
"AC006362.1",0
"AC006363.1",0
"AC006366.1",0
"AC006380.1",0
"AC006386.1",0
"AC006386.2",0
"AC006390.1",0
"AC006427.1",0
"AC006441.2",0
"AC006441.5",0
"AC006445.1",0
"AC006445.2",0
"AC006449.4",1.03174
"AC006453.1",0
"AC006453.2",401.76816
"AC006453.3",0
"AC006453.4",2
"AC006453.5",0
"AC006455.2",0
"AC006455.3",1
"AC006455.6",0
"AC006455.7",0
"AC006457.1",0
"AC006461.1",0
"AC006463.1",0
"AC006466.1",0
"AC006480.1",1
"AC006483.1",1.01881
"AC006484.1",0
"AC006486.1",0
"AC006499.1",0
"AC006499.2",0
"AC006499.3",0
"AC006499.4",0
"AC006499.5",0
"AC006499.6",0
"AC006499.7",0
"AC006499.8",0
"AC006504.3",3
"AC006504.4",0
"AC006504.6",0
"AC006509.1",20.2222
"AC006509.2",1
"AC006511.1",0
"AC006511.2",0
"AC006512.1",1
"AC006512.2",0
"AC006517.1",0
"AC006518.1",0
"AC006518.2",0
"AC006518.3",0
"AC006518.4",0
"AC006518.5",0
"AC006518.6",0
"AC006518.7",3.53626e-06
"AC006529.1",0
"AC006530.1",0
"AC006538.2",13.261
"AC006539.1",2.00037
"AC006539.2",3
"AC006539.3",0
"AC006548.1",0.387606
"AC006548.2",0
"AC006548.3",0
"AC006557.2",0
"AC006557.4",0
"AC006557.5",0
"AC006600.1",0
"AC006924.1",0
"AC006927.1",1.00098
"AC006927.2",0
"AC006927.3",2
"AC006927.4",0
"AC006927.5",0
"AC006946.1",0
"AC006960.1",0
"AC006965.1",0
"AC006967.1",5
"AC006970.1",2.12732
"AC006970.2",8
"AC006971.1",0
"AC006978.1",449
"AC006978.2",11.0201
"AC006986.1",0
"AC006987.1",0
"AC006989.1",0
"AC006994.1",0
"AC007000.1",12.0256
"AC007000.2",5
"AC007012.1",0
"AC007016.1",0
"AC007040.2",22.6762
"AC007041.1",3.07587
"AC007064.1",0
"AC007064.3",0
"AC007064.4",0
"AC007066.1",0
"AC007068.1",289.962
"AC007068.2",0
"AC007098.2",0
"AC007115.1",0
"AC007136.1",0
"AC007151.1",0
"AC007160.1",1.00019
"AC007161.1",3
"AC007161.2",1
"AC007179.3",0
"AC007182.2",3.02386
"AC007192.1",186.668
"AC007204.1",1
"AC007204.2",0
"AC007207.1",0
"AC007215.1",0
"AC007216.5",0
"AC007224.1",0
"AC007225.1",0
"AC007225.2",0
"AC007229.1",1.14995
"AC007237.1",0
"AC007238.1",7.79175
"AC007241.2",0
"AC007244.1",0
"AC007253.1",0
"AC007255.2",2
"AC007256.1",9.11513
"AC007262.1",0
"AC007274.1",0
"AC007274.2",0
"AC007274.3",0
"AC007275.1",0
"AC007279.1",0
"AC007283.2",0
"AC007312.1",0
"AC007318.1",58.2789
"AC007318.2",115.75
"AC007322.1",0
"AC007322.2",0
"AC007322.3",0
"AC007322.4",0
"AC007325.1",2.32708
"AC007325.2",1021.6805
"AC007325.3",0
"AC007325.4",92.5586
"AC007326.1",0
"AC007326.3",0
"AC007326.4",1422.9
"AC007327.1",0
"AC007342.2",0
"AC007342.3",30.15214
"AC007346.1",0
"AC007346.2",0
"AC007347.2",12.606
"AC007363.1",0
"AC007365.2",20.1004
"AC007375.2",0
"AC007376.1",0
"AC007383.1",0
"AC007386.1",1
"AC007387.1",2.11863
"AC007389.2",0
"AC007389.4",0
"AC007390.1",2
"AC007394.1",0
"AC007395.1",0
"AC007424.1",14.2876
"AC007435.1",0
"AC007448.2",0
"AC007450.2",0
"AC007450.3",0
"AC007450.4",0
"AC007458.1",0
"AC007494.1",1
"AC007536.1",0
"AC007537.1",0
"AC007537.2",0
"AC007546.3",165.387
"AC007547.1",0
"AC007547.2",1
"AC007547.3",0
"AC007551.1",0
"AC007551.2",0
"AC007552.1",0
"AC007559.1",0
"AC007560.1",0
"AC007562.1",0
"AC007563.3",17.0078
"AC007566.2",0
"AC007568.1",0
"AC007599.1",0
"AC007603.3",5
"AC007610.3",0
"AC007618.1",0
"AC007618.2",0
"AC007619.2",0
"AC007619.3",0
"AC007620.1",0
"AC007621.1",0
"AC007621.2",0
"AC007622.1",0
"AC007663.1",4.09526
"AC007677.1",0
"AC007679.2",0
"AC007679.4",0
"AC007683.1",6.3846
"AC007685.1",0
"AC007686.1",3.0004
"AC007688.2",5.19422
"AC007690.1",1.32721
"AC007718.1",0
"AC007731.1",21.6324
"AC007731.4",0
"AC007738.1",0
"AC007742.1",0
"AC007742.2",0
"AC007751.1",0
"AC007785.2",0
"AC007790.1",0
"AC007834.2",4
"AC007842.1",45.6273
"AC007842.2",45.6273
"AC007846.2",3.59125
"AC007849.2",0
"AC007881.1",2.12496
"AC007899.1",0
"AC007906.2",948.28693
"AC007908.1",1.60026
"AC007919.1",1.04851
"AC007919.2",2
"AC007923.2",6.86779
"AC007923.3",0
"AC007954.1",1
"AC007956.2",0
"AC007967.1",0
"AC007967.2",0
"AC007967.3",0
"AC007967.4",0
"AC007969.1",6.77818
"AC007969.2",2
"AC007991.1",0
"AC007992.1",0
"AC007992.2",0
"AC007993.1",0
"AC007998.1",0
"AC007998.2",11.9359
"AC008011.1",0
"AC008012.1",314.812
"AC008013.1",25.50639
"AC008013.2",13
"AC008013.3",1.74906
"AC008015.1",0
"AC008026.1",2.91831
"AC008026.2",0
"AC008033.1",0
"AC008033.2",0
"AC008038.1",56.586
"AC008040.2",0
"AC008040.3",0
"AC008040.4",1
"AC008055.1",0
"AC008065.1",1.00381
"AC008066.1",0
"AC008069.1",0
"AC008072.1",21.4113
"AC008073.3",28.4978
"AC008074.1",1
"AC008105.2",58.07689
"AC008121.1",0
"AC008126.1",0
"AC008127.2",0
"AC008132.1",37.1309
"AC008132.2",0
"AC008134.1",1
"AC008147.3",6
"AC008147.4",2
"AC008155.1",0
"AC008162.1",0
"AC008162.2",5.51702
"AC008163.1",0
"AC008171.1",1
"AC008175.2",0
"AC008264.1",0
"AC008267.1",0
"AC008267.2",13.1205
"AC008267.3",11
"AC008267.4",2.68448
"AC008267.6",6
"AC008267.7",0
"AC008277.2",0
"AC008280.1",0
"AC008280.2",0.316166
"AC008379.1",2
"AC008385.1",0
"AC008393.2",4478.48
"AC008397.1",3
"AC008397.2",13.1532
"AC008403.1",0
"AC008410.1",0
"AC008413.1",0
"AC008417.1",3
"AC008427.1",8.15852
"AC008429.2",0
"AC008429.4",0
"AC008432.1",0
"AC008443.7",1.11993
"AC008446.1",2.00031
"AC008463.1",0
"AC008481.1",1.06678
"AC008481.2",8
"AC008481.3",0
"AC008489.1",0
"AC008494.1",4.00066
"AC008496.1",0
"AC008498.1",15
"AC008507.1",31.1562
"AC008514.2",1
"AC008521.1",0
"AC008521.2",0
"AC008526.1",0
"AC008537.1",0
"AC008543.2",0
"AC008549.3",1.00305
"AC008550.1",0
"AC008555.3",14
"AC008555.6",0
"AC008562.1",0
"AC008565.1",12.5121
"AC008567.1",18.2126
"AC008571.1",0
"AC008575.1",0
"AC008581.2",34.3484
"AC008592.3",23.4371
"AC008608.1",4
"AC008620.1",0
"AC008620.2",10
"AC008622.1",2
"AC008622.3",0
"AC008626.1",5.19696
"AC008626.2",11.0137
"AC008628.1",0
"AC008628.2",0
"AC008629.2",0
"AC008629.3",0
"AC008638.1",0
"AC008638.2",0
"AC008638.3",0
"AC008676.2",0
"AC008676.3",7.01899
"AC008677.1",0
"AC008677.2",2.0003
"AC008677.3",0
"AC008687.1",0
"AC008687.4",3.000001
"AC008687.5",0
"AC008687.6",1
"AC008687.7",3.63158
"AC008687.8",1.60407
"AC008694.1",0
"AC008694.2",0
"AC008695.1",0
"AC008695.2",3.52077
"AC008696.1",0
"AC008716.1",1
"AC008723.1",0
"AC008725.1",0
"AC008737.2",0
"AC008739.2",1
"AC008739.3",0
"AC008740.1",0
"AC008740.2",0
"AC008745.1",0
"AC008746.2",0
"AC008746.5",0
"AC008749.1",0
"AC008750.6",0
"AC008750.8",1.72986
"AC008751.1",0
"AC008751.2",0
"AC008752.3",18.0316
"AC008753.1",2.07609
"AC008758.1",0
"AC008758.3",41
"AC008758.5",0
"AC008758.6",11.7041
"AC008759.1",1
"AC008763.2",2.33122
"AC008763.3",0
"AC008764.1",0
"AC008764.4",0
"AC008770.1",0
"AC008770.2",23.3267
"AC008770.4",55.6495
"AC008782.1",0
"AC008798.1",0
"AC008799.1",2.00022
"AC008802.1",2.00203
"AC008805.1",0
"AC008813.1",0
"AC008814.1",0
"AC008817.1",0
"AC008825.2",2
"AC008833.1",0
"AC008834.1",0
"AC008837.1",0
"AC008837.2",0
"AC008850.1",0
"AC008868.1",1.00008
"AC008878.1",3.60273
"AC008878.2",0
"AC008878.3",0
"AC008885.1",0
"AC008897.1",0
"AC008953.1",0
"AC008958.1",0
"AC008962.1",0
"AC008967.1",0
"AC008982.1",867.286
"AC008982.3",867.286
"AC008984.1",0
"AC008984.3",0
"AC008984.4",0
"AC008984.5",0
"AC009022.2",0
"AC009027.1",0
"AC009053.1",82.5053
"AC009053.4",0
"AC009060.2",0
"AC009070.1",4.03287
"AC009075.2",0
"AC009078.1",0
"AC009078.2",0
"AC009086.1",0
"AC009088.4",0
"AC009091.1",0
"AC009093.3",72.6125
"AC009093.8",70.66883
"AC009093.9",16.3998
"AC009094.1",0
"AC009101.1",0
"AC009108.1",0
"AC009117.1",0
"AC009120.1",34
"AC009127.2",0
"AC009132.1",3.09736
"AC009133.6",1695.34
"AC009136.2",0
"AC009153.1",0
"AC009161.1",0
"AC009163.3",19.4749
"AC009163.5",2.43531
"AC009169.1",0
"AC009171.1",0
"AC009220.1",3.00134
"AC009220.2",14.4102
"AC009220.3",1
"AC009233.1",0
"AC009237.1",0
"AC009237.10",0
"AC009237.11",0
"AC009237.12",0
"AC009237.13",0
"AC009237.16",0
"AC009237.17",0
"AC009237.2",0
"AC009237.3",241.8191
"AC009237.4",0
"AC009237.5",0
"AC009237.6",0
"AC009237.7",0
"AC009237.8",7
"AC009237.9",0
"AC009238.1",0
"AC009238.2",0
"AC009238.3",0
"AC009244.1",92.0587
"AC009245.1",12.0124
"AC009248.1",0
"AC009263.1",1
"AC009268.1",2
"AC009269.1",0
"AC009286.1",0
"AC009286.2",0.5
"AC009286.3",1.03082
"AC009296.1",0
"AC009299.1",30
"AC009299.2",0
"AC009302.1",0
"AC009303.1",2
"AC009310.1",0
"AC009313.2",0
"AC009314.1",0
"AC009319.1",4
"AC009362.1",2.00064
"AC009412.1",375.207
"AC009413.1",3.00187
"AC009414.1",0
"AC009414.2",0
"AC009452.1",8.12958
"AC009474.1",0
"AC009474.2",0
"AC009477.1",0
"AC009480.2",0
"AC009487.2",65.6772
"AC009494.1",0
"AC009500.1",0
"AC009501.1",0
"AC009501.2",1
"AC009502.1",0
"AC009506.2",0
"AC009509.3",0
"AC009517.1",0
"AC009518.2",0
"AC009518.3",0
"AC009533.1",99.7771
"AC009533.2",6.25172
"AC009541.1",0
"AC009542.2",28.83989
"AC009567.2",0
"AC009597.2",0
"AC009643.1",0
"AC009643.2",0
"AC009646.1",0
"AC009690.1",5.58656
"AC009690.3",0
"AC009712.1",0
"AC009729.1",0
"AC009779.1",4
"AC009779.3",124.348
"AC009779.4",0
"AC009779.6",0
"AC009784.1",0
"AC009800.1",0
"AC009804.1",0
"AC009812.2",1
"AC009831.2",0
"AC009879.1",12.1472
"AC009879.2",0
"AC009879.3",30.85333
"AC009884.2",0
"AC009892.2",0
"AC009892.3",0
"AC009901.1",0
"AC009901.2",0
"AC009902.1",0
"AC009927.1",3
"AC009945.1",1.03653
"AC009947.1",0
"AC009947.2",0
"AC009947.3",0
"AC009948.1",0
"AC009950.2",0
"AC009961.2",0
"AC009961.3",0
"AC009963.1",0
"AC009963.2",0
"AC009963.3",0
"AC009965.2",0
"AC009967.2",28.3527
"AC009969.1",0
"AC009977.1",0
"AC009994.1",0
"AC009997.1",0
