sp1,sp2
0.652,0.652
0.871,0.89
0.616,0.555
0.715,0.761
0.574,0.478
0.745,0.592
0.895,0.811
0.851,0.631
0.725,0.791
0.834,0.744
0.649,0.686
0.705,0.679
0.659,0.749
0.697,0.684
0.692,0.668
0.747,0.659
0.59,0.645
0.832,0.705
0.913,0.778
0.622,0.59
0.718,0.677
0.722,0.566
0.673,0.646
0.671,0.639
0.811,0.785
0.729,0.687
0.855,0.738
0.66,0.576
0.774,0.725
0.734,0.698
0.713,0.683
0.697,0.662
0.741,0.782
0.603,0.62
0.644,0.665
0.579,0.828
0.604,0.464
0.587,0.511
0.569,0.508
0.653,0.614
0.642,0.582
0.786,0.72
0.604,0.574
0.627,0.57
0.703,0.629
0.652,0.697
0.753,0.711
0.67,0.663
0.888,0.888
0.709,0.677
0.783,0.728
0.773,0.794
0.783,0.728
0.967,0.967
0.926,0.874
0.935,0.935
0.675,0.558
0.797,0.793
0.93,0.855
0.854,0.836
0.93,0.93
0.919,0.869
0.877,0.83
0.868,0.885
0.922,0.939
0.907,0.856
0.86,0.81
0.907,0.907
0.89,0.879
0.923,0.907
0.92,0.878
0.987,0.973
0.942,0.888
0.923,0.869
0.876,0.876
0.901,0.828
0.895,0.842
0.901,0.828
0.584,0.716
0.985,0.97
0.989,0.977
0.985,0.97
0.985,0.931
0.957,0.957
0.976,0.969
1,0.921
0.994,0.994
0.963,0.97
0.899,0.886
0.977,0.968
0.936,0.921
0.976,0.955
0.976,0.95
0.968,0.938
0.958,0.981
0.994,0.994
0.962,0.959
1,1
1,1
1,1
0.994,1
0.99,1
0.979,1
0.956,0.99
0.958,0.947
0.99,1
0.993,1
1,1
0.969,0.984
0.977,0.977
0.968,0.972
0.959,0.962
0.997,1
0.915,0.923
0.993,1
0.964,0.979
0.994,0.99
0.976,0.983
0.953,0.963
0.993,1
0.997,0.997
0.991,0.991
0.997,0.993
1,1
1,1
1,1
0.952,0.936
0.993,0.993
1,1
0.997,0.997
1,1
1,1
0.997,0.997
0.978,1
0.936,0.957
0.997,1
0.831,0.846
0.856,0.779
0.865,0.935
0.89,0.914
0.898,0.902
0.887,0.833
0.839,0.81
0.893,0.865
0.89,0.827
0.808,0.724
0.817,0.832
0.736,0.789
0.941,0.92
0.61,0.856
0.902,0.865
0.864,0.87
0.877,0.901
0.761,0.654
0.876,0.876
0.898,0.882
0.903,0.903
0.767,0.806
0.827,0.756
0.961,0.926
0.784,0.796
0.849,0.831
0.9,0.897
0.842,0.8
0.864,0.852
0.843,0.911
0.866,0.77
0.942,0.904
0.861,0.812
0.875,0.875
1,0.92
0.706,0.405
0.545,0.232
0.79,0.631
0.944,0.957
0.962,0.961
0.615,0.426
0.785,0.784
0.722,0.301
0.916,0.773
0.906,0.912
0.649,0.497
0.857,0.451
0.703,0.345
0.816,0.53
0.954,0.944
0.721,0.503
0.912,0.658
0.961,0.577
0.62,0.342
0.467,0.44
0.603,0.517
0.675,0.433
0.792,0.773
0.572,0.282
0.489,0.176
1,1
0.994,0.994
0.994,0.994
1,1
1,1
1,1
0.949,0.977
1,1
0.766,0.203
0.969,0.964
0.983,0.983
0.983,0.983
1,1
0.994,0.994
1,1
0.926,0.931
0.981,0.981
1,1
0.974,1
0.647,0.176
1,1
0.979,0.979
1,0.986
0.963,0.963
0.971,0.982
0.981,0.981
0.975,0.969
0.979,0.97
0.988,0.921
0.986,0.96
0.836,0.681
0.96,0.96
0.971,0.979
1,0.853
0.983,0.983
0.971,0.976
0.976,0.976
1,0.853
0.995,0.995
0.99,0.99
0.983,0.983
0.89,0.89
0.99,0.99
0.983,0.983
1,1
0.986,0.981
1,1
0.986,0.981
1,1
0.955,0.941
0.946,0.946
0.934,0.934
0.866,0.469
0.934,0.927
0.93,0.93
1,1
1,1
1,1
1,1
1,1
1,1
0.939,0.927
0.932,0.921
0.584,0.676
0.932,0.932
0.955,0.937
0.935,0.935
0.932,0.919
1,1
0.986,0.981
1,1
1,1
0.981,0.981
0.616,0.644
0.986,0.986
0.537,0.537
0.552,0.552
0.333,0.379
0.348,0.394
0.537,0.209
0.03,0
0.522,0.343
0.537,0.612
0.962,0.962
0.082,0
1,1
0.456,0.456
0.125,0
0.197,0.152
0.219,0
0.227,0.106
0.349,0.222
0.119,0.03
0.908,0.908
1,1
0.964,0.964
1,0.986
0.986,0.986
0.465,0.366
0.958,0.958
0.958,0.958
1,0.986
0.958,0.958
0.973,0.973
0.795,0.767
1,1
1,0.986
0.643,0.586
0.543,0.529
1,1
0.77,0.824
0.716,0.716
0.918,0.918
0.549,0.394
0.958,0.958
0.964,0.964
1,1
0.987,0.973
1,1
0.767,0.767
0.958,0.958
0.587,0.587
0.851,0.865
0.712,0.712
0.816,0.816
1,0.986
0.611,0.611
0.973,0.973
0.986,0.986
0.653,0.736
0.569,0.569
0.986,0.986
0.939,0.939
0.944,0.944
0.571,0.586
0.944,0.944
1,1
0.592,0.592
0.62,0.62
0.986,0.986
0.958,0.958
0.976,0.963
0.973,0.986
1,1
0.958,0.958
0.944,0.944
0.912,0.926
0.973,0.973
0.839,0.855
0.634,0.634
0.986,0.986
0.514,0.514
1,1
0.589,0.589
1,1
0.93,0.93
0.938,0.984
0.62,0.62
1,0.986
1,1
0.74,0.74
0.592,0.606
0.972,0.972
0.75,0.75
0.681,0.667
0.958,0.958
0.952,0.952
0.976,0.976
0.855,0.843
0.959,0.959
0.406,0.13
0.507,0.493
0.963,0.963
0.5,0.5
0.94,0.94
0.943,0.943
0.955,0.955
0.864,0.864
0.958,0.361
0.958,0.958
1,1
0.644,0.795
0.536,0.536
0.5,0.229
0.657,0.657
0.985,1
0.522,0.507
0.358,0.343
0.522,0.493
0.394,0.333
