t1,t2
0.018306307,0.011804756
0.006266883,0.014695976
0.005745138,0.012056634
0.005506731,0.011372587
0.015933012,0.013910282
0.00650552,0.015104944
0.005647131,0.016099843
0.006760678,0.011308462
0.009529339,0.014014229
0.011158332,0.01302204
0.007330358,0.010858881
0.00592523,0.017018206
0.006486049,0.014985547
0.011306342,0.013324381
0.011330724,0.017167287
0.009950539,0.014586029
0.006041008,0.01127011
0.00823641,0.010354136
0.007203079,0.015575677
0.006871196,0.009433563
0.008881315,0.014251415
0.010565931,0.010956938
0.006526031,0.011287441
0.014357313,0.014478341
0.014411758,0.009270961
0.012460323,0.020056647
0.007972492,0.008920817
0.010439413,0.015077022
0.007879886,0.011632615
0.007922249,0.014531215
0.007624218,0.016740447
0.008150134,0.01563276
0.007073049,0.021270731
0.009068858,0.010676708
0.007813701,0.012879321
0.007316746,0.011321672
0.009463335,0.011557859
0.008750115,0.013003919
0.005669372,0.010210196
0.005428386,0.013316611
0.007574834,0.018695792
0.006766488,0.010521468
0.006602086,0.011695719
0.008160504,0.015319699
0.010906205,0.010950927
0.008484627,0.012534907
0.00576979,0.010796187
0.006630849,0.01228594
0.007278744,0.011740091
0.006062789,0.009623435
0.007728615,0.009560221
0.008178186,0.009873943
0.008856213,0.018840454
0.00635582,0.01157611
0.007627198,0.020100199
0.007626138,0.007674551
0.009439023,0.014155338
0.007856293,0.01517415
0.007693443,0.010726641
0.007296985,0.017868296
0.008621156,0.010330774
0.009611305,0.017439215
0.006280214,0.018753326
0.008363489,0.008756946
0.008239,0.011410699
0.011282041,0.016129085
0.010821589,0.008504298
0.007489568,0.01287428
0.006633499,0.013340323
0.00562629,0.01128778
0.006313107,0.009275481
0.010079977,0.008578963
0.009470795,0.013679006
0.01229243,0.015060572
0.0062218,0.014535095
0.012056275,0.01403767
0.005653181,0.013044312
0.005660771,0.015452689
0.007535622,0.011319562
0.008201248,0.013949254
0.00823626,0.020217088
0.007128783,0.010402129
0.008723424,0.016643891
0.006427975,0.014153008
0.011168963,0.019074189
0.008000544,0.020890234
0.006992484,0.008254101
0.007776658,0.015669864
0.007634839,0.010950367
0.007266754,0.01518592
0.008004744,0.008474826
0.004571547,0.008591014
0.004129956,0.005228652
0.011617263,0.005180788
0.005809812,0.006820831
0.004988925,0.005437906
0.00505739,0.006431085
0.005239073,0.003518563
0.00446814,0.00694373
0.008331746,0.008725523
0.006819862,0.006052018
0.005618979,0.007576014
0.006337819,0.009885203
0.004470609,0.006588436
0.005083752,0.010010002
0.004674883,0.004897038
0.006257473,0.006412014
0.006099713,0.007748575
0.004143427,0.008604175
0.0080801,0.00881212
0.006737696,0.009006303
0.004705935,0.005287396
0.004399715,0.007576004
0.0072186,0.007322856
0.00461952,0.008367849
0.004743798,0.008669519
0.004276766,0.004095633
0.004791621,0.009877283
0.006861255,0.00925964
0.005686974,0.006107913
0.006902208,0.006382622
0.004559315,0.006236072
0.003955253,0.00839262
0.004729448,0.008461804
0.004674914,0.008927018
0.004567416,0.006309436
0.004869566,0.006523741
0.005429205,0.010999671
0.005306257,0.005242653
0.004542134,0.006197849
0.010157823,0.005888657
0.00476911,0.00477727
0.006590046,0.005372702
0.005374783,0.014113156
0.008995912,0.00434156
0.008494508,0.005950692
0.004280417,0.005974193
0.006526061,0.010235538
0.004651292,0.003995626
0.005059911,0.005885927
0.004246354,0.007161605
0.004135386,0.004504502
0.007326197,0.003945903
0.006627239,0.004610769
0.004194071,0.006666061
0.004499501,0.004615339
0.005033138,0.005244953
0.004676333,0.007410973
0.003956834,0.006765578
0.006370752,0.007999693
0.004152137,0.007781498
0.008617866,0.005822192
0.006868085,0.005488179
0.006477638,0.005299076
0.004550755,0.008022114
0.004243964,0.006832032
0.004601069,0.007486508
0.005166177,0.009426702
0.00418776,0.006511661
0.006412664,0.008482867
0.007481948,0.005385983
0.004554155,0.008400561
0.006636939,0.003768571
0.006364431,0.004281195
0.004057781,0.006089931
0.008474407,0.004497351
0.004490081,0.003794502
0.003797703,0.004671874
0.004612859,0.007121562
0.005918449,0.006581435
0.006953251,0.00708261
0.003943833,0.005233822
0.00447539,0.007875455
0.00461603,0.004055451
0.004243074,0.005768439
0.005120444,0.007845342
0.004631541,0.007052797
0.004866577,0.004890399
0.00867624,0.004317129
0.004135466,0.005292916
0.006445706,0.004090543
0.004981775,0.008406582
0.006551393,0.007966861
0.004577597,0.004002876
0.005514291,0.004566876
0.006677122,0.004636781
0.004941532,0.005099723
0.008935388,0.006994044
0.006367781,0.004650611
0.004826684,0.007630828
0.004381033,0.004955143
0.004554495,0.004826003
0.003684175,0.006839473
0.004045991,0.004979214
0.004077662,0.005015417
0.00824066,0.007571774
0.006039038,0.004867956
0.006740197,0.009569972
0.007576124,0.01041313
0.006287405,0.005454887
0.009017945,0.004435256
0.004675784,0.004963034
0.004378114,0.004351221
0.003261665,0.004922421
0.004258315,0.004741857
0.005310627,0.004881657
0.005846914,0.004077992
0.003968445,0.005689533
0.007409962,0.007335367
0.004026758,0.005177508
0.003876967,0.006383081
0.003514273,0.004244963
0.005209961,0.00375345
0.003572378,0.003875518
0.003211793,0.00477462
0.005304107,0.005724725
0.011780445,0.00462599
0.004108184,0.003698406
0.030135666,0.003625451
0.00448501,0.007037577
0.006293286,0.006434645
0.005169088,0.004252813
0.005853525,0.004533714
0.005530383,0.004837905
0.004082962,0.004473209
0.010072516,0.004557535
0.004583397,0.005060761
0.006267934,0.004240843
0.010734272,0.003962494
0.003892529,0.004472959
0.004520122,0.004878157
0.003256405,0.006592495
0.005310417,0.005832384
0.011487455,0.004212701
0.004088923,0.006442445
0.003826515,0.004750559
0.008997523,0.006635929
0.004004037,0.005307087
0.004166568,0.004833414
0.005996175,0.007596535
0.008440904,0.007508939
0.00693933,0.005240692
0.007422174,0.003911891
0.008923688,0.004380323
0.004642231,0.006524571
0.008019225,0.003811134
0.006975322,0.0053498
0.00649789,0.003245164
0.004217352,0.003488442
0.003838286,0.004313098
0.00550296,0.003680804
0.007178207,0.011249398
0.012595011,0.003538334
0.008072128,0.004380243
0.008720153,0.004126886
0.005116534,0.0046255
0.003544546,0.004061221
0.004749869,0.00462714
0.004797152,0.007561893
0.005652581,0.007760647
0.006699033,0.003797752
0.003636111,0.004536474
0.007829652,0.007696392
0.003873158,0.004320129
0.005428556,0.006593516
0.003422807,0.004664842
0.004388993,0.006300136
0.004154538,0.003844655
0.00461913,0.004394054
0.002963495,0.004729147
0.007173317,0.006055059
0.003489872,0.004509212
0.004153757,0.005945091
0.0041966,0.006088941
0.004583586,0.003873168
0.003630882,0.004357381
0.004211922,0.006318907
0.005086432,0.003870838
0.00360147,0.006710994
0.006801151,0.012782554
0.006782939,0.004091443
0.005370861,0.006467367
0.004231803,0.003241794
0.004035099,0.004444747
0.003696546,0.003919171
0.004985855,0.003924351
0.005104414,0.004008607
0.005241972,0.005740226
0.004522183,0.009842231
0.00535801,0.004031469
0.004223142,0.003243744
0.003864858,0.005409954
0.004015598,0.00405013
0.006133954,0.005126904
0.0077973,0.00622411
0.006968943,0.005237372
0.004148727,0.006454546
0.004270446,0.005267385
0.004211781,0.003866917
0.005531773,0.006204419
0.00490762,0.004733847
0.005231212,0.005301667
0.004997326,0.005048889
0.004996406,0.003943602
0.006596666,0.007190657
0.00405596,0.003978686
0.004289546,0.006390001
0.006670512,0.004131796
0.004385884,0.004509862
0.005043749,0.007454005
0.006183758,0.005559885
0.004225102,0.004178959
0.003920782,0.004148326
0.005279705,0.005558004
0.00475868,0.003656653
0.006790889,0.005661511
0.006417843,0.009950568
0.003985826,0.008193547
0.006194409,0.0070861
0.007667591,0.003438188
0.007329257,0.005906108
0.003877978,0.005003036
0.005122994,0.007755996
0.0062104,0.004864377
0.00679245,0.004319468
0.004264186,0.005881716
0.007123483,0.004868466
0.005069261,0.00737679
0.00592316,0.008788038
0.006758318,0.004456598
0.005130405,0.005247623
0.008339498,0.005444547
0.005716675,0.005613618
0.005124895,0.005338199
0.00562876,0.006036248
0.004018588,0.006844813
0.005566156,0.008206188
0.005705725,0.005482369
0.003634422,0.0062131
0.005964783,0.007559133
0.005987615,0.007969662
0.004926141,0.005021177
0.003224013,0.014381115
0.006618858,0.00925718
0.004424517,0.004576926
0.004447578,0.005627699
0.004056971,0.00563889
0.007078409,0.006571164
0.011566741,0.005833684
0.008035846,0.005665362
0.00362088,0.004688574
0.005368182,0.003998936
0.004648502,0.005478838
0.004510093,0.004237562
0.00389969,0.006354619
0.006700873,0.006189968
0.003918462,0.004387983
0.008044556,0.008117652
0.007198678,0.003653262
0.006329008,0.006819891
0.006317587,0.008596064
0.004008688,0.00722826
0.004428866,0.004062281
0.006371461,0.005254633
0.005247613,0.003931282
0.006760207,0.009783466
0.004542865,0.008031896
0.004644381,0.00420097
0.004471679,0.005599167
0.008407072,0.006556863
0.004833894,0.006845173
0.004689675,0.009449783
0.004748078,0.006991564
0.005289796,0.004280786
0.005385763,0.003721247
0.005126965,0.00651741
0.004608929,0.007276033
0.004609909,0.007677651
0.005269404,0.006761678
0.005698534,0.006811521
0.006419943,0.008162054
0.004380453,0.004719186
0.004874287,0.00361591
0.006265043,0.006168467
0.004205561,0.003823254
0.004500832,0.008739404
0.003837855,0.004271455
0.005684653,0.003287688
0.00476715,0.003869817
0.005430965,0.004886978
0.007933189,0.00361843
0.004663402,0.007639278
0.005500441,0.004957043
0.006008566,0.00332283
0.006359349,0.009222417
0.004133417,0.00317856
0.004394044,0.004743908
0.003726588,0.003690075
0.004783801,0.003147768
0.007920429,0.004183209
0.007429094,0.003595068
0.015602091,0.008645547
0.003642432,0.003527074
0.004375633,0.003743908
0.004641212,0.003861697
0.004493031,0.004863896
0.005322209,0.004077021
0.003479691,0.004970384
0.004661953,0.00376287
0.004628091,0.00491478
0.006724225,0.003692295
0.003930962,0.004097463
0.007200168,0.00391091
0.005555425,0.003755639
0.011442751,0.004069132
0.00389006,0.009604484
0.005095993,0.003845096
0.005803761,0.009956858
0.003942433,0.002907531
0.004088523,0.003256025
0.003746238,0.004010747
0.004828384,0.006154025
0.00433916,0.00621306
0.006055189,0.003319739
0.003252335,0.003344411
0.009380799,0.006182927
0.004550835,0.003586138
0.00405078,0.005770989
0.003626182,0.003042381
0.003791142,0.003634072
0.003959344,0.003773081
0.004848746,0.003350321
0.008424352,0.003624971
0.010971029,0.003260396
0.011923085,0.003351752
0.00651,0.005036868
0.00433133,0.003767861
0.004380333,0.003922811
0.00475739,0.004001866
0.004197,0.0060849
0.003501302,0.009858181
0.006578745,0.00302797
0.004850846,0.005510201
0.004976565,0.004497671
0.003729418,0.007290894
0.003925812,0.003341841
0.004391574,0.003466669
0.004539644,0.005036398
0.004494831,0.004914319
0.003927622,0.003208101
0.004981415,0.00289373
0.005171748,0.004435547
0.008915448,0.005057859
0.00433747,0.006983762
0.009078969,0.004142957
0.003803333,0.00709288
0.003596118,0.003544895
0.004425316,0.008126952
0.004834055,0.004892658
0.00332616,0.003590599
0.004316159,0.00447733
0.015344642,0.004824943
0.004511312,0.005677543
0.008934518,0.005575766
0.005412064,0.005606068
0.004675844,0.007824561
0.006637549,0.003165939
0.005206419,0.00418237
0.004514323,0.004289976
0.004053911,0.011923415
0.003408586,0.005656331
0.006016256,0.011608473
0.005045459,0.00376497
0.004663823,0.004440237
0.004259085,0.00491918
0.007036177,0.003382684
0.004473499,0.005854135
0.003432468,0.003192421
0.003694826,0.006136265
0.004547465,0.004584337
0.003676075,0.003264696
0.004051791,0.003555025
0.003865617,0.003076422
0.00621017,0.004241033
0.003966255,0.004309738
0.004789561,0.003647902
0.004456449,0.002807735
0.006127484,0.003784471
0.0039052,0.005015167
0.005650951,0.002653743
0.003656013,0.003976554
0.003998697,0.003884138
0.005449517,0.003451189
0.003113555,0.003855727
0.003677424,0.004795302
0.005159347,0.00302846
0.002777382,0.002990797
0.006975292,0.0037611
0.006138764,0.004758609
0.003057592,0.003560226
0.003943782,0.004252264
0.003678985,0.004263965
0.004527563,0.00288893
0.004533984,0.003677444
0.003519663,0.003089794
0.008444204,0.005592437
0.003828565,0.003661043
0.004021868,0.004889138
0.003492831,0.002520195
0.006209389,0.008441653
0.005824413,0.003194051
0.005007697,0.003294038
0.004213042,0.004166288
0.003738678,0.003677164
0.004722327,0.007863654
0.010894164,0.002914822
0.004090132,0.006156466
0.004417945,0.002802134
0.003883849,0.003583287
0.008836191,0.004131255
0.004362132,0.002480542
0.005302947,0.003352532
0.003150628,0.006412953
0.003992357,0.004718506
0.003451559,0.003543695
0.007099522,0.003653482
0.004395964,0.003793933
0.004684924,0.004687643
0.003635031,0.003111775
0.003631502,0.004520552
0.003261306,0.004438476
0.003719067,0.002798894
0.006198699,0.004405015
0.003968085,0.003406536
0.004607478,0.004477
0.003530955,0.002775282
0.007536012,0.002678475
0.004139697,0.004580886
0.003961204,0.008869263
0.005677543,0.003929022
0.004591178,0.003541944
0.00345314,0.004466409
0.003409856,0.002949794
0.005885606,0.003314839
0.00290058,0.003866977
0.00461601,0.003144657
0.003233414,0.00448794
0.003699586,0.003317599
0.005505541,0.003087893
0.003578038,0.003288408
0.003332621,0.005433125
0.003529524,0.003439548
0.005398513,0.003051521
0.004102074,0.010778555
0.00461831,0.003254755
0.004001166,0.003321779
0.003291458,0.004270065
0.003886859,0.002780462
0.00362049,0.003561106
0.003633641,0.006017136
0.003593068,0.003360642
0.003528074,0.002602809
0.004687714,0.00347246
0.006100632,0.003227383
0.003452039,0.00375405
0.008186616,0.004731427
0.004932041,0.006872485
0.005281356,0.002915562
