t1,t2
0.019232922,0.968615136
0.098220799,6.764337477
0.029058532,2.147243848
0.019687723,0.683039267
0.115757293,6.741808242
0.023751234,1.111333393
0.086915287,8.202368191
0.063724911,4.552092011
0.027157109,1.011969421
0.132331701,10.577182086
0.009900045,0.272799452
0.163218258,10.800265356
0.335034212,20.594402905
0.093565847,5.348286121
0.1386777,18.298841496
0.674148297,109.724674085
0.042845136,3.914985222
0.306105399,35.267763969
0.056143786,3.921580572
0.039394317,2.919983331
0.276182578,22.074918734
0.044898837,3.296423222
0.091931414,6.703013477
0.005655351,0.198347411
0.400790183,38.234920427
0.044537072,3.794254283
0.05706402,4.235984766
0.031281935,1.946673728
0.522916987,70.786356575
0.072974371,7.237263108
0.02801874,3.202191083
0.07193853,6.490358088
0.16800921,17.654508339
0.071314076,8.268467298
0.045516281,4.861952288
0.778582804,134.481107052
0.198567315,21.683364007
0.025534337,1.647184069
0.258382626,28.028316441
0.472290031,71.284559938
0.048649387,3.810311756
0.022292123,1.61546271
0.079148409,8.215345502
0.085928178,12.816826943
0.061008004,4.192797232
0.087289952,5.813938221
0.083678011,8.562738364
0.293534478,43.121524359
0.060230239,6.424906082
0.09708907,8.314776953
0.06543505,16.481843275
0.249525232,43.549600932
0.134753747,16.172209596
0.252439993,37.776326687
0.08076267,10.268926118
0.037978428,3.624744132
0.040685717,4.104696654
0.016938873,0.799802919
0.124112771,15.758746857
0.695315587,162.333693722
0.11934292,13.486561414
1.351319941,239.681531007
0.146019807,12.020658507
0.056284526,4.534969411
0.238918437,24.136382303
0.023323705,1.773207848
0.060302484,5.291254416
0.517733175,70.7038087
0.031904659,2.316412242
0.043273035,4.577020619
0.100446842,8.201423431
0.066241205,5.666333077
0.150647677,14.354131807
0.639081432,94.559283456
0.027582879,1.476261258
0.137444623,18.575039805
0.205691006,19.445779229
0.131058321,17.4987629
0.112550809,10.603510633
0.01647958,1.16120622
0.0485463,4.461907052
0.046982072,4.993527471
0.172917288,24.397104552
0.024121769,1.849625732
0.022236659,1.243470402
0.034749135,2.274377328
0.020982392,1.389094647
0.096144634,10.144850893
0.084354349,9.536094427
0.018655181,0.932440085
0.100022482,12.866951008
0.049867832,4.626496985
0.043018567,4.42653164
0.007036747,0.280372839
0.006542083,0.282922257
0.018306307,0.299607146
0.006266883,0.322455335
0.005745138,0.292411221
0.005506731,0.296211833
0.015933012,0.288985016
0.00650552,0.303478652
0.005647131,0.29149766
0.006760678,0.28987372
0.009529339,0.287416047
0.011158332,0.292128626
0.007330358,0.287486351
0.00592523,0.295609704
0.006486049,0.271940344
0.011306342,0.27593642
0.011330724,0.325083202
0.009950539,0.268417941
0.006041008,0.291813028
0.00823641,0.303139109
0.007203079,0.299167364
0.006871196,0.256552437
0.008881315,0.277889312
0.010565931,0.31785625
0.006526031,0.266822519
0.014357313,0.295269251
0.014411758,0.293305215
0.012460323,0.28869077
0.007972492,0.289003113
0.010439413,0.275831525
0.007879886,0.283501004
0.007922249,0.273791192
0.007624218,0.286041882
0.008150134,0.3002819
0.007073049,0.317514787
0.009068858,0.277196504
0.007813701,0.294038954
0.007316746,0.296332393
0.009463335,0.289405628
0.008750115,0.296498775
0.005669372,0.308553959
0.005428386,0.274296735
0.007574834,0.330742386
0.006766488,0.308210121
0.006602086,0.29191028
0.008160504,0.300197165
0.010906205,0.275188988
0.008484627,0.269875393
0.00576979,0.25582468
0.006630849,0.27037239
0.007278744,0.250399726
0.006062789,0.277021501
0.007728615,0.258654718
0.008178186,0.269450939
0.008856213,0.265593202
0.00635582,0.284693629
0.007627198,0.252594337
0.007626138,0.251965349
0.009439023,0.271463376
0.007856293,0.24862541
0.007693443,0.264806222
0.007296985,0.261414988
0.008621156,0.254997052
0.009611305,0.260878268
0.006280214,0.258876929
0.008363489,0.271515106
0.008239,0.28895654
0.011282041,0.251995567
0.010821589,0.261063519
0.007489568,0.261986587
0.006633499,0.264340942
0.00562629,0.255784216
0.006313107,0.253109027
0.010079977,0.280848585
0.009470795,0.262976999
0.01229243,0.247450506
0.0062218,0.246996162
0.012056275,0.282759516
0.005653181,0.279883502
0.005660771,0.269570386
0.007535622,0.247971363
0.008201248,0.306320461
0.00823626,0.311763953
0.007128783,0.301164357
0.008723424,0.326820499
0.006427975,0.269049143
0.011168963,0.342467297
0.008000544,0.28249785
0.006992484,0.271410067
0.007776658,0.302246063
0.007634839,0.287986916
0.007266754,0.282406202
0.008004744,0.302321206
0.004571547,0.073531702
0.004129956,0.076762112
0.011617263,0.079042181
0.005809812,0.081250204
0.004988925,0.069944486
0.00505739,0.067926657
0.005239073,0.060494685
0.00446814,0.064205421
0.008331746,0.064825387
0.006819862,0.061498939
0.005618979,0.064730849
0.006337819,0.062747363
0.004470609,0.073453006
0.005083752,0.079103875
0.004674883,0.074176059
0.006257473,0.072569391
0.006099713,0.072814258
0.004143427,0.067597672
0.0080801,0.074339001
0.006737696,0.074578349
0.004705935,0.073128271
0.004399715,0.067412637
0.0072186,0.067362524
0.00461952,0.068021233
0.004743798,0.088090201
0.004276766,0.07971395
0.004791621,0.07674438
0.006861255,0.069219852
0.005686974,0.073690783
0.006902208,0.082484985
0.004559315,0.08431003
0.003955253,0.071309696
0.004729448,0.07068788
0.004674914,0.079969788
0.004567416,0.072609742
0.004869566,0.075788127
0.005429205,0.074448889
0.005306257,0.073940831
0.004542134,0.071397293
0.010157823,0.07312159
0.00476911,0.07136491
0.006590046,0.079381284
0.005374783,0.079021778
0.008995912,0.077216293
0.008494508,0.07055883
0.004280417,0.079391275
0.006526061,0.079478292
0.004651292,0.073612907
0.005059911,0.068436013
0.004246354,0.079902753
0.004135386,0.076959735
0.007326197,0.074251624
0.006627239,0.07393225
0.004194071,0.075301311
0.004499501,0.075796828
0.005033138,0.077798606
0.004676333,0.092229906
0.003956834,0.072478351
0.006370752,0.073992574
0.004152137,0.073637858
0.008617866,0.073241248
0.006868085,0.086977917
0.006477638,0.078672121
0.004550755,0.070205453
0.004243964,0.0802929
0.004601069,0.074562996
0.005166177,0.091554625
0.00418776,0.071404692
0.006412664,0.069519492
0.007481948,0.06759054
0.004554155,0.095003751
0.006636939,0.064734068
0.006364431,0.071548402
0.004057781,0.070360585
0.008474407,0.067258485
0.004490081,0.080124638
0.003797703,0.08379863
0.004612859,0.075583961
0.005918449,0.084988628
0.006953251,0.074655762
0.003943833,0.078291982
0.00447539,0.081832805
0.00461603,0.063582132
0.004243074,0.063113167
0.005120444,0.07084552
0.004631541,0.061339715
0.004866577,0.069293914
0.00867624,0.076071346
0.004135466,0.076806922
0.006445706,0.061591924
0.004981775,0.070571379
0.006551393,0.064607047
0.004577597,0.061158312
0.005514291,0.059218588
0.006677122,0.068057523
0.004941532,0.078739705
0.008935388,0.066489527
0.006367781,0.074703495
0.004826684,0.084068689
0.004381033,0.057602637
0.004554495,0.073426811
0.003684175,0.087666225
0.004045991,0.065773453
0.004077662,0.063309901
0.00824066,0.064195446
0.006039038,0.072497892
0.006740197,0.072421166
0.007576124,0.119594381
0.006287405,0.064292764
0.009017945,0.057124472
0.004675784,0.044657409
0.004378114,0.051652867
0.003261665,0.07073135
0.004258315,0.052153463
0.005310627,0.051749634
0.005846914,0.054399161
0.003968445,0.048392825
0.007409962,0.05546972
0.004026758,0.064145702
0.003876967,0.057111601
0.003514273,0.053136816
0.005209961,0.043542416
0.003572378,0.043983759
0.003211793,0.053676667
0.005304107,0.053157538
0.011780445,0.052356498
0.004108184,0.04279055
0.030135666,0.051131819
0.00448501,0.052252641
0.006293286,0.068402908
0.005169088,0.044850313
0.005853525,0.059222277
0.005530383,0.052989756
0.004082962,0.053132536
0.010072516,0.051872562
0.004583397,0.056539018
0.006267934,0.045843016
0.010734272,0.050066969
0.003892529,0.050384702
0.004520122,0.046737422
0.003256405,0.059288581
0.005310417,0.056926607
0.011487455,0.043941155
0.004088923,0.052305154
0.003826515,0.045101221
0.008997523,0.040970235
0.004004037,0.064689122
0.004166568,0.043558266
0.005996175,0.052659071
0.008440904,0.049931439
0.00693933,0.051524437
0.007422174,0.038230152
0.008923688,0.058697368
0.004642231,0.054454964
0.008019225,0.054286131
0.006975322,0.052321496
0.00649789,0.049899716
0.004217352,0.069114359
0.003838286,0.056143228
0.00550296,0.043401275
0.007178207,0.053165918
0.012595011,0.06871957
0.008072128,0.062581065
0.008720153,0.048081141
0.005116534,0.048262725
0.003544546,0.052163834
0.004749869,0.052733586
0.004797152,0.074580934
0.005652581,0.092587797
0.006699033,0.079152122
0.003636111,0.074223507
0.007829652,0.079442314
0.003873158,0.046057542
0.005428556,0.046411677
0.003422807,0.044322432
0.004388993,0.061474262
0.004154538,0.046761133
0.00461913,0.051278587
0.002963495,0.045614648
0.007173317,0.04740246
0.003489872,0.0422638
0.004153757,0.045101971
0.0041966,0.045599127
0.004583586,0.050991646
0.003630882,0.047565563
0.004211922,0.048953505
0.005086432,0.050293764
0.00360147,0.04563264
0.006801151,0.041028419
0.006782939,0.055862317
0.005370861,0.047882056
0.004231803,0.043280126
0.004035099,0.046682608
0.003696546,0.042080186
0.004985855,0.04511055
0.005104414,0.040804622
0.005241972,0.049752245
0.004522183,0.051134058
0.00535801,0.040163264
0.004223142,0.0371394
0.003864858,0.038108022
0.004015598,0.068180399
0.006133954,0.071496014
0.0077973,0.067239039
0.006968943,0.061999811
0.004148727,0.064029541
0.004270446,0.071241916
0.004211781,0.071399947
0.005531773,0.076105176
0.00490762,0.079621066
0.005231212,0.072394971
0.004997326,0.070292334
0.004996406,0.066380595
0.006596666,0.071959968
0.00405596,0.067358918
0.004289546,0.068684536
0.006670512,0.069237306
0.004385884,0.066122726
0.005043749,0.07941097
0.006183758,0.080573386
0.004225102,0.074341645
0.003920782,0.073537064
0.005279705,0.072810012
0.00475868,0.073589589
0.006790889,0.064092455
0.006417843,0.069236777
0.003985826,0.076665956
0.006194409,0.075566625
0.007667591,0.068720038
0.007329257,0.06968467
0.003877978,0.080594147
0.005122994,0.069042462
0.0062104,0.083024387
0.00679245,0.068040758
0.004264186,0.078500722
0.007123483,0.072623656
0.005069261,0.075477898
0.00592316,0.07252409
0.006758318,0.073831886
0.005130405,0.06929318
0.008339498,0.057716423
0.005716675,0.059905134
0.005124895,0.059799197
0.00562876,0.078241902
0.004018588,0.055037065
0.005566156,0.079311051
0.005705725,0.065049086
0.003634422,0.056991229
0.005964783,0.058011654
0.005987615,0.055759908
0.004926141,0.057240927
0.003224013,0.06955693
0.006618858,0.069800187
0.004424517,0.067911378
0.004447578,0.066548546
0.004056971,0.072894766
0.007078409,0.070072398
0.011566741,0.074315722
0.008035846,0.068545834
0.00362088,0.072798268
0.005368182,0.08052648
0.004648502,0.080716565
0.004510093,0.079459642
0.00389969,0.066516934
0.006700873,0.115016074
0.003918462,0.08065644
0.008044556,0.071990659
0.007198678,0.08552309
0.006329008,0.081694927
0.006317587,0.061588348
0.004008688,0.074110525
0.004428866,0.078111531
0.006371461,0.070541392
0.005247613,0.068581557
0.006760207,0.073082989
0.004542865,0.06457193
0.004644381,0.076065921
0.004471679,0.075213197
0.008407072,0.070032283
0.004833894,0.078842136
0.004689675,0.07700784
0.004748078,0.062950159
0.005289796,0.071544824
0.005385763,0.071992638
0.005126965,0.075777468
0.004608929,0.077875393
0.004609909,0.078531622
0.005269404,0.071456219
0.005698534,0.076768701
0.006419943,0.075727525
0.004380453,0.053711826
0.004874287,0.044879432
0.006265043,0.047280059
0.004205561,0.043132882
0.004500832,0.052604243
0.003837855,0.046451477
0.005684653,0.04987271
0.00476715,0.041352791
0.005430965,0.057585331
0.007933189,0.049096793
0.004663402,0.059272337
0.005500441,0.051584317
0.006008566,0.042733062
0.006359349,0.055005471
0.004133417,0.045486706
0.004394044,0.048613688
0.003726588,0.053469107
0.004783801,0.051403584
0.007920429,0.054636892
0.007429094,0.054284927
0.015602091,0.052205674
0.003642432,0.043904488
0.004375633,0.04932525
0.004641212,0.05823919
0.004493031,0.039436608
0.005322209,0.037605963
0.003479691,0.043369889
0.004661953,0.052754974
0.004628091,0.044578549
0.006724225,0.045519279
0.003930962,0.043999746
0.007200168,0.046671953
0.005555425,0.039505243
0.011442751,0.053096239
0.00389006,0.04622331
0.005095993,0.043011593
0.005803761,0.047593311
0.003942433,0.043785489
0.004088523,0.044299358
0.003746238,0.041204059
0.004828384,0.042003998
0.00433916,0.0459588
0.006055189,0.043261591
0.003252335,0.042362535
0.009380799,0.047255596
0.004550835,0.040580912
0.00405078,0.043874236
0.003626182,0.046242002
0.003791142,0.038818701
0.003959344,0.039751702
0.004848746,0.039588939
0.008424352,0.037179361
0.010971029,0.045884785
0.011923085,0.049943696
0.00651,0.047479453
0.00433133,0.05055568
0.004380333,0.042722031
0.00475739,0.043903268
0.004197,0.044912702
0.003501302,0.042286868
0.006578745,0.041458758
0.004850846,0.045570681
0.004976565,0.044804555
0.003729418,0.045590263
0.003925812,0.044470361
0.004391574,0.040973441
0.004539644,0.044820336
0.004494831,0.044781463
0.003927622,0.047998662
0.004981415,0.036915821
0.005171748,0.03703999
0.008915448,0.04094791
0.00433747,0.038531691
0.009078969,0.036551554
0.003803333,0.042425528
0.003596118,0.045455472
0.004425316,0.038222758
0.004834055,0.046950853
0.00332616,0.039982538
0.004316159,0.037428969
0.015344642,0.040344685
0.004511312,0.039246963
0.008934518,0.0354164
0.005412064,0.050253508
0.004675844,0.032500334
0.006637549,0.036119251
0.005206419,0.033345986
0.004514323,0.040696821
0.004053911,0.051341158
0.003408586,0.038837863
0.006016256,0.041797922
0.005045459,0.040498776
0.004663823,0.034817816
0.004259085,0.045274259
0.007036177,0.041546314
0.004473499,0.03650513
0.003432468,0.044631592
0.003694826,0.04407611
0.004547465,0.018016502
0.003676075,0.01621926
0.004051791,0.018667161
0.003865617,0.019798814
0.00621017,0.017938396
0.003966255,0.019041279
0.004789561,0.016544324
0.004456449,0.023481387
0.006127484,0.018268471
0.0039052,0.01622199
0.005650951,0.019758961
0.003656013,0.01568052
0.003998697,0.013498829
0.005449517,0.016116782
0.003113555,0.017784626
0.003677424,0.020437322
0.005159347,0.018188405
0.002777382,0.019584189
0.006975292,0.019476921
0.006138764,0.01825228
0.003057592,0.020439702
0.003943782,0.016883569
0.003678985,0.019080361
0.004527563,0.015653248
0.004533984,0.018996885
0.003519663,0.017640915
0.008444204,0.020213995
0.003828565,0.015891475
0.004021868,0.021456297
0.003492831,0.017621394
0.006209389,0.018059966
0.005824413,0.020344075
0.005007697,0.021413144
0.004213042,0.020034802
